Datetime,Actual,Prediction,Model,Fold,Type
2012-07-16 11:00:00,1830.2177734,1524.452661,Seasonal Naive,0,Baseline
2012-07-16 12:00:00,1857.9490405,1545.9607403,Seasonal Naive,0,Baseline
2012-07-16 13:00:00,1868.2422174,1568.6141715,Seasonal Naive,0,Baseline
2012-07-16 14:00:00,1861.3391873,1554.544941,Seasonal Naive,0,Baseline
2012-07-16 15:00:00,1843.3925297,1596.0655958,Seasonal Naive,0,Baseline
2012-07-16 16:00:00,1830.5965453,1625.8991824,Seasonal Naive,0,Baseline
2012-07-16 17:00:00,1808.7437469,1626.7249035,Seasonal Naive,0,Baseline
2012-07-16 18:00:00,1761.735459,1575.9123,Seasonal Naive,0,Baseline
2012-07-16 19:00:00,1717.9615866,1567.7972855,Seasonal Naive,0,Baseline
2012-07-16 20:00:00,1660.0238232,1547.8247545,Seasonal Naive,0,Baseline
2012-07-16 21:00:00,1609.7402429,1539.3019398,Seasonal Naive,0,Baseline
2012-07-16 22:00:00,1607.8527748,1496.5463778,Seasonal Naive,0,Baseline
2012-07-16 23:00:00,1508.0127713,1396.1537006,Seasonal Naive,0,Baseline
2012-07-17 00:00:00,1385.3600112,1280.4521567,Seasonal Naive,0,Baseline
2012-07-17 01:00:00,1316.8855866,1236.4009312,Seasonal Naive,0,Baseline
2012-07-17 02:00:00,1274.6977746,1181.3755599,Seasonal Naive,0,Baseline
2012-07-17 03:00:00,1261.9095809,1176.2874784,Seasonal Naive,0,Baseline
2012-07-17 04:00:00,1256.7986233,1214.2381559,Seasonal Naive,0,Baseline
2012-07-17 05:00:00,1260.231229,1275.1609678,Seasonal Naive,0,Baseline
2012-07-17 06:00:00,1347.3597457,1354.3646678,Seasonal Naive,0,Baseline
2012-07-17 07:00:00,1512.6322361,1516.8963163,Seasonal Naive,0,Baseline
2012-07-17 08:00:00,1619.613267,1606.4387243,Seasonal Naive,0,Baseline
2012-07-17 09:00:00,1717.358205,1687.2898167,Seasonal Naive,0,Baseline
2012-07-17 10:00:00,1784.2622134,1774.630599,Seasonal Naive,0,Baseline
2012-07-16 11:00:00,1830.2177734,1826.7457941714285,Rolling Moving Avg,0,Baseline
2012-07-16 12:00:00,1857.9490405,1846.9443832857146,Rolling Moving Avg,0,Baseline
2012-07-16 13:00:00,1868.2422174,1873.0021345999999,Rolling Moving Avg,0,Baseline
2012-07-16 14:00:00,1861.3391873,1872.2449442428572,Rolling Moving Avg,0,Baseline
2012-07-16 15:00:00,1843.3925297,1883.0480221857144,Rolling Moving Avg,0,Baseline
2012-07-16 16:00:00,1830.5965453,1877.7081161857143,Rolling Moving Avg,0,Baseline
2012-07-16 17:00:00,1808.7437469,1854.2369197857145,Rolling Moving Avg,0,Baseline
2012-07-16 18:00:00,1761.735459,1796.0839408857141,Rolling Moving Avg,0,Baseline
2012-07-16 19:00:00,1717.9615866,1756.1597737,Rolling Moving Avg,0,Baseline
2012-07-16 20:00:00,1660.0238232,1721.9951869,Rolling Moving Avg,0,Baseline
2012-07-16 21:00:00,1609.7402429,1674.8706722571428,Rolling Moving Avg,0,Baseline
2012-07-16 22:00:00,1607.8527748,1652.6703016428569,Rolling Moving Avg,0,Baseline
2012-07-16 23:00:00,1508.0127713,1545.0825503571427,Rolling Moving Avg,0,Baseline
2012-07-17 00:00:00,1385.3600112,1437.190521185714,Rolling Moving Avg,0,Baseline
2012-07-17 01:00:00,1316.8855866,1364.4458746285713,Rolling Moving Avg,0,Baseline
2012-07-17 02:00:00,1274.6977746,1313.6398219285713,Rolling Moving Avg,0,Baseline
2012-07-17 03:00:00,1261.9095809,1287.0956507571427,Rolling Moving Avg,0,Baseline
2012-07-17 04:00:00,1256.7986233,1276.6008144285713,Rolling Moving Avg,0,Baseline
2012-07-17 05:00:00,1260.231229,1295.1359642857144,Rolling Moving Avg,0,Baseline
2012-07-17 06:00:00,1347.3597457,1350.656907457143,Rolling Moving Avg,0,Baseline
2012-07-17 07:00:00,1512.6322361,1477.6066379000001,Rolling Moving Avg,0,Baseline
2012-07-17 08:00:00,1619.613267,1593.6956357,Rolling Moving Avg,0,Baseline
2012-07-17 09:00:00,1717.358205,1692.1977343714286,Rolling Moving Avg,0,Baseline
2012-07-17 10:00:00,1784.2622134,1759.4493594857142,Rolling Moving Avg,0,Baseline
2012-07-16 11:00:00,1830.2177734,1774.630599,Flat Naive,0,Baseline
2012-07-16 12:00:00,1857.9490405,1774.630599,Flat Naive,0,Baseline
2012-07-16 13:00:00,1868.2422174,1774.630599,Flat Naive,0,Baseline
2012-07-16 14:00:00,1861.3391873,1774.630599,Flat Naive,0,Baseline
2012-07-16 15:00:00,1843.3925297,1774.630599,Flat Naive,0,Baseline
